"MembershipID","tIncludeInCurrentMailing","tFRPCanadaMember","tFRPJointMembership","tNewFRPCanadaMember","tNewFRPBCMember","tJoinDate","tFRP-BC(Provincial)","tFRP-BC-FRP-Canada-ADD","tJointMembership(National)","tEndowmentDonation","tTOTAL","tFederalCharitableRegistrationNo","tAgencyName","tAgencyAddress1","tAgencyAddress2","tAgencyProv","tAgencyCity","tAgencyPC","tAgencyPhone","tAgencyFax","tAgencyWebsite","tAgencyDirector","tAgencyContactTitle","tAgencyDirectorPhone","tAgencyDirectorExt","tAgencyDirectorEmail","tAgencyEmail","tAboriginal","tNewtoCanada","tMemberName","tMainProgramContact","tMainContactTitle","tMainContactPhone","tMainContactEmail","tProgramLink","bMember","tNumber","tPolicySurvey","tRegion","tSubRegion","tPopulation","bSameAsAgency","tMemberAddress1","tMemberAddress2","tMemberCity","tMemberProv","tMemberPC","tMemberPhone","tMemberFax","bMailingSameAs","tMailingAddress1","tMailingAddress2","tMailingCity","tMailingProv","tMailingPC","tCommunity","b2007Questionnaire","tCoordinator","tProgramContactTitle","tCoordinatorPhone","tCoordinatorExt","tCoordinatorEmail","tAdditionalContactName","tAdditionalContactTitle","tAdditionalContactExt","tAdditionalContactEmail","tPSPProgressNotes","tPSPEmailContactDate","tPSPPhone1Date","tPSPPhone2Date","tPSPPhone3Date","tPSPPhone4Date","tPSPSelfAssessmentComplete","tPSPPresentation","tPSPPresentationDate","tAccredited","tPSPImplementationComplete","tPSPImplementationDate","tPSPCommitted","tPSPNotCommitted","nBoosterSeatsRequested","nBoosters Delivered","Booster Seats 2008","Booster Seat Total","bFRP","tOther","tUrbanRural","SchoolDistID","tDaysOpenPerWeek","tHoursOpenPerWeek","tServiceType","tPercentageFundingNotMCFD","bMCFDFunding","tGaming","cMCFDAmount","tSuccessBy6","tUnitedWay","tCAP-C","tVancouverFoundation","tMakeChildrenFirst","tIDP","tAboriginalIDP","tMinistryEducation","tPartnerOrganizations","tCommunityInvestments","tFundraising/Donations","tOtherFundingSources","tTotalAnnualFunding","tProgramExpenseTotal","tInKindFunds","tProgrammingDeficit","tFundingAmountForStrongStart","t2003EnhancementGrantAppliedFor","t2003DevelopmentRequest","t2003EnhancementGrantRequest","t2003EnhancementGrantAwarded","t2003IntentionsFor-EG-Funding","t2003EG-Comments","tCapacityGrantRequest","tCapacityGrantApplicationSentOut","tGrantApplicationReceived","tStreamOne","tStreamTwo","tCG-CriteriaMet","tCapacityGrantAmountAwarded","tIntentionsForCapacityGrantFunding","tComments-CapacityGrants","tApplicationNumber","nMembershipType","dRenewal","dUpdate","tReceiptNo","cSatelliteFunding","t2009StatusNotes","tMembershipNotes","tParentChildInteractiveDrop-in","tCounsellingServices","tSupportiveCounselling","tClothingExchange","tPregnancyOutreachProgram","tCommunityKitchenAndNutritionEducation","tDadsDrop-in","tWell-babyClinicsAndHealthScreening","tRespiteChildMinding","tCommunityActivities-DinnersAndFieldTrips","tSpecialNeeds","tCreativePlay-CraftsAndPainting","tAgeAppropriateToys-stations","tNobody'sPerfect","tTriplePParenting","tChildDevelopmentActivities-CircleTime","tEarlyChildhoodIntervention","tLanguageDevelopment","tEarlyLiteracyPrograms","tAboriginalMotherGooseProgram","tYoungParents Program","tParentChildMotherGoose","tWorkshopsAndCourses","tESLForParent/Caregiver","tParentSupportGroups","tPrenatalPrograms","tToyLendingLibrary","tHomeVisiting","tKindergartenReadiness","tFamilyPreservation","tChildCareServices","tEmploymentAndHousing","tDisabilityRelatedServices","nSchoolDistrictID","tPartnership01","tPartnership02","tPartnership03","tPartnership04","tPartnership05","tPartnership06","tPartnership07","tPartnership08","tPartnership09","tPartnership10","tPartnership11","tPartnership12","tDSA2005NominationReceived","tDSA2005AwardWinner","tDSA2006NominationReceived","tDSA2006AwardWinner","tDSA2007NominationReceived","tDSA2007AwardWinner","tDSA2008Applied","tDSA2008AwardWinner","tDSA2008AwardAppliedFor","tDSA2007AwardAppliedFor","tCAPC Program"
2,0,0,1,1,0,"2002",,,"100.0000",,"100.0000","85860 5769 RR0001","Okanagan Boys and Girls Clubs","1434 Graham Street","PO Box 20222","BC","Kelowna","V1Y 9H2","2507623914","2507626562","www.boysandgirlsclubs.ca/#http://www.boysandgirlsclubs.ca/#","Diane Entwistle","Director of Operations","2507623989",111,"dentwistle@boysandgirlsclubs.ca","info@boysandgirlsclubs.ca",,,"Penticton Parent/Child Drop-in","Teresa Murray","Area Director-Central","(250) 762-3914","tmurray@boysandgirlsclubs.ca","#http://www.boysandgirlsclubs.ca/club_main.php?target=penticton#",1,"115",0,"Interior",,"34,669",0,"1295 Manitoba Street",,"Penticton","BC","V0H 1N0","2504930512","2504935616",0,"1434 Graham Street","PO Box 20222","Kelowna","BC","V1Y 9H2","Penticton",0,"Jen Anderson","Area Director-South","2504930512","114","janderson@boysandgirlsclubs.ca","Teresa Murray","Area Director-Central","108","tmurray@boysandgirlsclubs.ca","No reply to emails.  Needs follow up.","March & May",,,,,0,0,,1,0,,1,0,10,"5","10","15",1,,"Urban",,,,"Multi-service","95",0,,,,,,,,,,,,,,,,"17000.0000","7000.0000","10000.0000",,1,,,"15000.0000",,"Was called Westside Boys & Girls Club back then.  ","10000.0000",1232006400000,1235721600000,0,1,1,"10000.0000","To enhance and expand the program in Lake Country ","NOTE: The Bridge Youth & Family Services, Kelowna ","Interior - 13",1,1372662000000,1339743600000,"70",,,"New Member as of July 2007

Lori Gillard retired: March 1, 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"The Bridge Youth and Family Services","Kelowna Child Care Society",,,,,,,,,,,0,0,0,0,0,0,0,0,,,1
3,0,0,0,0,0,"2006","60.0000",,,,"60.0000","13723 0348 RR0001","The Hope Centre","790 North Road",,"BC","Gabriola Island","V0R 1X3","2502478730","2502478730","www.gabriolahopecentre.com#http://www.gabriolahopecentre.com#","Alice Verstraete","Executive Director","2502478730",,"hopecentre@shaw.ca","hopecentre@shaw.ca","0",,"The Hope House","Alice Verstraete","Executive Director","(250) 247-8730","hopecentre@shaw.ca",,1,"112",0,"Vancouver Island",,"4,000",1,"790 North Road",,"Gabriola Island","BC","V0R 1X3","2502478730","2502478730",1,"790 North Road",,"Gabriola Island","BC","V0R 1X3","Gabriola Island",0,"Alice Verstraete","Executive Director","2502478730",,"hopecentre@shaw.ca",,,,,"Not a priority for her.",,,,,,0,0,,0,0,,1,0,5,"5","5","5",1,,"Ultra Rural",,,,"Multi-service",,0,,,,,,,,,,,,,,,,"9982.0000","0.0000","9982.0000",,0,,,,,,"9982.0000",1210921200000,1213945200000,0,1,0,"0.0000","Delivery of the Triple ""P"" Parenting Program.  It ","Gabriola Island is one of the Gulf Islands - Indep","VI-5",1,1333263600000,1301986800000,"893",,,"On Gabriola Island the Hope Centre runs:

The Ho",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,68,"VIHA","MCFD","Greater Nanaimo Early Years Partnership",,,,,,,,,,0,0,0,0,0,0,0,0,,,0
4,0,0,0,0,0,"2002",,,"100.0000",,"100.0000",,"Kamloops Community YMCA-YWCA","400 Battle Street",,"BC","Kamloops","V2C 2L7","2503727725","2503723023","www.kamloopsy.org#http://www.kamloopsy.org#","Colin Reid","Chief Executive Officer","2503727725",201,"cried@kamloopsy.org",,"0",,"Kamloops Child Interactive Play and Learn Centre","Janis Arner","Co-Director, Family Services","(250) 372-7791","kamloopsccrr@shawlink.ca",,1,"116",0,"Interior",,"80,376",0,"Unit E - 1420 Hugh Allan Dr.",,"Kamloops","BC","V1S 1L8","2503727791","2503720144",0,"400 Battle Street",,"Kamloops","BC","V1S 1L8","Kamloops",1,"Janis Arner","Co-Director, Family Services","2503727791","205","kamloopsccrr@shawlink.ca","Monica van der Meulen","Co-Director-Family Services","207","monica.v@kamloopsy.org","Doing worksheets.  Will be aligning this with current accreditation.","March 2009","March 2009",,,,1,0,,1,1,1262246400000,1,0,1,"20","10","30",1,"FRP","Urban",,,,"Multi-service","95",1,,"8215.0000",,,,,,,,,,,,,,,,,,1,,,"10000.0000",,,,,,0,0,0,,,,,1,1372662000000,1340953200000,"74",,"Opted not to be a Joint Member","Updated as per Questionnaire.  No satellites.

S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0
5,0,0,0,1,0,"2006",,,"100.0000",,"100.0000","10681 7661 RR001","Bulkley Valley Child Development Centre Society","3350 Poplar Road","PO Box 995","BC","Smithers","V0J 2N0","2508474122","2508479338","www.bvcdc.ca#http://www.bvcdc.ca#","Kerri Kluss","Executive Director","2508474122",,"director@bvcdc.ca","reception@bvcdc.ca","0",,"Bulkley Valley Child Development Centre","Kerri Kluss",,"(250) 847-4122","director@bvcdc.ca","www.bvcdc.ca/programs.html#http://www.bvcdc.ca/programs.html#",1,"147",0,"Northern",,"5,575",1,"3350 Poplar Road","PO Box 995","Smithers","BC","V0J 2N0","2508474122","2508479338",0,"Box 995",,"Smithers","BC","V0J 2N0","Smithers",0,"Kirsten Morgan","Family Service Coordinator","2508474122",,,,,,,,,,,,,0,0,,1,0,,0,1,20,"15","10","25",1,,"Ultra Rural",,,,"Multi-service",,0,,,,,,,"20127.0000","53011.0000",,,,,,"21087.0000","94225.0000","15000.0000","5000.0000","10000.0000",,0,,,,,,"10000.0000",1210921200000,1214204400000,0,1,1,"15000.0000","One day per week satellite sites in Smithers and H","Serves over 20 small rural communities from Topley","N-13",1,1364799600000,1331535600000,"024",,"Joint Membership paid to FRP-BC","Sent renewal notice June 11.  Made follow up call ",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,54,"Aboriginal Family Literacy","Northwest Supported Child Development Program","Aboriginal Infant Development Program","Building Blocks Advisory Committee","Child Care Resource & Referral","Make Children First Initiative","Maternal Infant Health Committee","Roots of Empathy Steering Committee","Success by 6","Women's Health Advisory",,,0,0,0,0,0,0,0,0,,,0
6,1,1,1,0,0,"2002",,,"100.0000",,"100.0000",,"Abbotsford Community Services","2420 Montrose Avenue",,"BC","Abbotsford","V2S 3S9","6048597681","6048596334","www.abbotsfordcommunityservices.com#http://www.abbotsfordcommunityservices.com#","Penny Petersen","Family Centre Coordinator","6048597681",302,"penny.petersen@AbbotsfordCommunityServices.com","acsfamilycentre@AbbotsfordCommunityServices.com","5","5","Abbotsford Family Centre","Penny Petersen","Family Centre Coordinator","(604) 859-7681","penny.petersen@AbbotsfordCommunityServices.com",,1,"033",1,"Fraser Valley",,"123,864",0,"33780 Laurel Street",,"Abbotsford","BC","V2S 3S9","6048597681","6048596334",1,"33780 Laurel Street",,"Abbotsford","BC","V2S 3S9","Abbotsford",1,"Penny Petersen","Family Centre Coordinator","6048597681","302","penny.petersen@AbbotsfordCommunityServices.com","Sue Khazaie","Mgr. Early Childhood and Family Resource","771","Sue.Khazaie@AbbotsfordCommunityServices.com","They will start to complete the worksheets this summer.  Committed to talk further in September.","March 9, 2009","March 9, 2009","May 9, 2009",,,1,0,,1,1,1258963200000,0,0,10,"20","10","30",1,,"Urban",,,,"Multi-service","92",1,,"24500.0000",,,,,,,,,,,,,,,,,,1,,,"10000.0000",,,,,,0,0,0,,,,,1,1364799600000,1335769200000,"41",,"Paid Membership Dues to FRP-BC.  Accounted for in payment from FRP-BC to FRP Canada (March 2009)","Updated via Q.  Need clarity on funding: $89,940 N",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,34,,,,,,,,,,,,,0,0,0,0,0,0,1,0,"Continuum of Service",,1
7,0,0,1,1,0,"2004",,,"100.0000",,"100.0000",,"Westcoast Child Care Resource Centre","2772 East Broadway",,"BC","Vancouver","V5M 1Y8","6047095661","6047095662","www.wstcoast.org#http://www.wstcoast.org#","Christine Baerg","Director of Administration","6047095661",226,"cbaerg@wstcoast.org","info@wstcoast.org","0",,,"Christine Baerg","Director of Administration","(604) 709-5661","cbaerg@wstcoast.org",,1,"009",0,"Vancouver Coastal",,"578,041",0,,,,,,,,1,"2772 East Broadway",,"Vancouver","BC","V5M 1Y8","Vancouver",0,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,,,,0,"Child Care","Urban",,,,"Multi-service",,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,1,1372662000000,1338534000000,"58",,"Sent renewal email.  Call to follow up","Sent renewal email: May 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0
8,0,0,0,0,0,"2005","60.0000",,,,"60.0000","10699 0484 RR0001","Cowichan Family Life Association","28 - 127 Ingram Street",,"BC","Duncan","V9L 1N8","2507488281","2507481651","www.cowichanfamilylife.org#http://www.cowichanfamilylife.org#","Maureen Gallinger","Executive Director","2507488281",,"maureen@cowichanfamilylife.org","cfla@cowichanfamilylife.org","20","2","Cowichan Community Resource Bus","Maureen Gallinger","Executive Director","(250) 748-8281","maureen@cowichanfamilylife.org",,1,"191",1,"Vancouver Island",,"5,032",0,"5 -Locations 1 day/week",,"Duncan","BC","V9L 5J2","2507488281","2507481651",0,"28 - 127 Ingram Street",,"Duncan","BC","V9L 1N8","Duncan",0,"Maureen Gallinger","Executive Director","2507488281",,"maureen@cowichanfamilylife.org",,,,,,,,,,,0,0,,0,0,,0,1,25,"20","15","35",1,"Drop-in (21 hrs)","Ultra Rural",,,,"Multi-service","100",0,,,,,,,,,,,,,,,,"106641.0000","76641.0000","30000.0000",,0,,,,,,"30000.0000",1210921200000,1214377200000,1,1,1,"20000.0000","Stream One: In partnership with Success by 6, to f","Applied for both streams of funding.  Programs hav","VI-4",1,1372662000000,1343718000000,"93",,"Paid membership dues to FRP-BC",,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,79,"Success by 6","School District 79","StrongStart Learing Centre","Hiiye'yu Lelum - House of Friendship - Society","Volunteer Cowichan",,,,,,,,0,0,0,0,0,0,0,0,,,0
9,0,0,1,1,0,"2005",,,"100.0000",,"100.0000",,"Cariboo Chilcotin Child Development Centre Association","51 South Fourth Avenue","690 Second Avenue | V2G 4C4","BC","Williams Lake","V2G 1C6","2503924489","2503924456","www.cccdca.org#http://www.cccdca.org#","Nancy Gale","Executive Director","2503924489",2056,"ngale@cccdca.org",,"0",,"Cariboo Chilcotin Child Development Ctr","Vanessa Riplinger","Operations Manager","(250) 392-4481","vriplinger@cccdca.org",,1,"154",1,"Interior",,"10,744",0,"690 Second Avenue","Aileen Hewitt Building","Williams Lake","BC","V2G 4C4","2503924481","2503924432",1,"690 Second Avenue",,"Williams Lake","BC","V2G 4C4","Williams Lake",0,"Vanessa Riplinger","Operations Manager","2503924481","202","vriplinger@cccdca.org","Coleen Onofrechuk","Intake Manager","208","conofrechuk@cccdca.org","Needs follow up.","March & May",,,,,0,0,,1,0,,0,1,15,"13","10","23",1,"Special Needs","Rural",,,,"Multi-service",,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,1,1364799600000,1331535600000,"025",,,"Questionnaire has not yet been sent in.  Encourage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0
14,1,0,0,0,0,"2002","60.0000",,,,"60.0000",,"Vernon First Nations Friendship Centre","2904 - 29th Avenue",,"BC","Vernon","V1T 1Y7","2505421247","2505423707","www.fnfcvernon.com#http://www.fnfcvernon.com#","Wendy Antoine","Executive Director","2505427578",,"edfnfc@shawcable.com","fnfc@shawcable.com","100","0","Aboriginal Infant & Early Development Program","Connie Deane","AIDP & ECD Consultant","(250) 542-7578","aecd-connie@telus.net",,1,"103",1,"Interior",,"35,944",0,"2904 - 29th Avenue",,"Vernon","BC","V1T 1Y7","2505427578","2505427597",1,"2904 - 29th Avenue",,"Vernon","BC","V1T 1Y7","Vernon",1,"Connie Deane","AIDP & ECD Consultant","2505427578",,"aecd-connie@telus.net",,,,,"Needs follow up.","March & May",,,,,0,0,,0,0,,0,1,12,"5",,,1,"ECD","Urban",,,,"Multi-service",,0,,,,,,,,,,,,,,,,,,,,1,,,"10000.0000",,,,,,0,0,0,,,,,1,1364799600000,1331107200000,"020",,"Sent renewal email.  Call to follow up.","Updated re: Questionnaire.   No Website.   Agency ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,1
15,1,0,1,1,0,"2002",,,"100.0000",,"100.0000",,"Agassiz-Harrison Community Services","7086 Cheam Avenue","Box 564","BC","Agassiz","V0M 1A0","6047962585","6047962517","www.agassiz-harrison.org#http://www.agassiz-harrison.org#","Heidi Trautmann","Executive Director","6047960313",,"htrautmann@shawlink.ca","ahcs@shawlink.ca","25","15","Agassiz-Harrison Family Place","Louisa Hardy","Program Coordinator","(604) 796-0313","hardy.l@shaw.ca",,1,"031",1,"Fraser Valley",,"6,000",0,"7272 Morrow Road","Box 564","Agassiz","BC","V0M 1A0","6047960313",,0,"Box 564",,"Agassiz","BC","V0M 1A0","Agassiz",0,"Louisa Hardy","Program Coordinator","6047960313",,"hardy.l@shaw.ca","LaRee Russell","Program Assistant",,"russell.l@shaw.ca","Will be starting to work on the worksheets in summer 2009.  Discussed suggested process and examples of how other FRPs are engaging.  Agency may become accredited in near future.","March 9, 2009","March 9, 2009","May 9, 2009",,,0,0,,0,0,,1,0,10,"10","10","20",1,,"Ultra Rural",,,,"Multi-service",,0,,,,,,,,,,,,,,,,,,,,1,,,"10000.0000",,,,,,0,0,0,,,,,1,1364799600000,1337238000000,"49",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,,,,,,,,,,,,,0,0,0,0,0,0,1,0,"Continuum of Service",,1
